prob,gene
207924_x_at,PAX8
205270_s_at,LCP2
224189_x_at,EHF
220327_at,VGLL3
214456_x_at,SAA1_///_SAA2
238906_s_at,RHOJ
203570_at,LOXL1
1569225_a_at,SCML4
209847_at,CDH17
205280_at,GLRB
204724_s_at,COL9A3
244745_at,RERG
227444_at,ARMCX4
214297_at,CSPG4
209465_x_at,PTN
204614_at,SERPINB2
214528_s_at,PAX8
226751_at,CNRIP1
207540_s_at,SYK
219115_s_at,IL20RA
209993_at,ABCB1
229566_at,LOC645638
230269_at,---
209392_at,ENPP2
202628_s_at,SERPINE1
228737_at,TOX2
210145_at,PLA2G4A
201288_at,ARHGDIB
231879_at,COL12A1
226591_at,LOC100506965
230895_at,HAPLN1
224221_s_at,VAV3
204304_s_at,PROM1
209373_at,MALL
220474_at,SLC25A21
228377_at,KLHL14
1554302_s_at,LHFPL3-AS1
201107_s_at,THBS1
203868_s_at,VCAM1
243278_at,FOXP2
235795_at,PAX6
230925_at,APBB1IP
209949_at,NCF2
226743_at,SLFN11
226322_at,TMTC1
222895_s_at,BCL11B
222486_s_at,ADAMTS1
226535_at,ITGB6
240419_at,SLC6A15
214218_s_at,XIST
209875_s_at,SPP1
244463_at,ADAM23
210942_s_at,ST3GAL6
229641_at,CCBE1
1555745_a_at,LYZ
226863_at,FAM110C
224397_s_at,TMTC1
231131_at,FAM133A
207666_x_at,SSX3
210683_at,NRTN
204748_at,PTGS2
202238_s_at,NNMT
223313_s_at,MAGED4_///_MAGED4B_///_SNORA11D
218736_s_at,PALMD
229215_at,ASCL2
205289_at,BMP2
235236_at,---
213695_at,PON3
209692_at,EYA2
207996_s_at,LDLRAD4
213131_at,OLFM1
204115_at,GNG11
205593_s_at,PDE9A
205433_at,BCHE
240253_at,---
231867_at,TENM2
209201_x_at,CXCR4
226722_at,FAM20C
214307_at,HGD
229377_at,GRTP1
203400_s_at,TF
205485_at,RYR1
226814_at,ADAMTS9
208596_s_at,UGT1A1_///_UGT1A10_///_UGT1A3_///_UGT1A4_///_UGT1A5_///_UGT1A6_///_UGT1A7_///_UGT1A8_///_UGT1A9
237449_at,SP8
1552368_at,CTCFL
238546_at,SLC8A1
201842_s_at,EFEMP1
210715_s_at,SPINT2
240366_at,LHFPL3-AS1
204124_at,SLC34A2
217767_at,C3
205439_at,GSTT2
239552_at,VWDE
229670_at,---
231925_at,OTTHUMG00000159695_///_RP11-38P22.2
203889_at,SCG5
243818_at,SFTA1P
220922_s_at,SPANXA1_///_SPANXA2_///_SPANXB1_///_SPANXB2_///_SPANXC_///_SPANXE_///_SPANXF1
215446_s_at,LOX
230641_at,LOC100505938
225763_at,RCSD1
203998_s_at,SYT1
205942_s_at,ACSM3
236694_at,TXLNG2P
213479_at,NPTX2
223303_at,FERMT3
229584_at,LRRK2
243681_at,SHANK2
203780_at,MPZL2
208510_s_at,PPARG
224941_at,PAPPA
242406_at,---
212942_s_at,KIAA1199
242940_x_at,DLX6
226777_at,ADAM12_///_ADAM12-OT1
204416_x_at,APOC1
203708_at,PDE4B
228635_at,PCDH10
204475_at,MMP1
228241_at,AGR3
219279_at,DOCK10
205862_at,GREB1
235763_at,SLC44A5
241470_x_at,---
230943_at,SOX17
204198_s_at,RUNX3
206082_at,HCP5
219476_at,C1orf116
206060_s_at,PTPN22
202158_s_at,CELF2
201148_s_at,TIMP3
202831_at,GPX2
221728_x_at,XIST
226248_s_at,KIAA1324
223475_at,CRISPLD1
209885_at,RHOD
235852_at,STON2
203083_at,THBS2
218468_s_at,GREM1
1552390_a_at,C8orf47
1554685_a_at,KIAA1199
231227_at,---
209591_s_at,BMP7
212935_at,MCF2L
236175_at,TRIM55
202994_s_at,FBLN1
205680_at,MMP10
238458_at,MICU3
1562713_a_at,NETO1
206022_at,NDP
229147_at,RASSF6
237552_at,LOC100505817
210510_s_at,NRP1
229485_x_at,SHISA3
219970_at,GIPC2
202803_s_at,ITGB2
218723_s_at,RGCC
228969_at,AGR2
209269_s_at,SYK
238689_at,GPR110
1552736_a_at,NETO1
225664_at,COL12A1
228948_at,EPHA4
208161_s_at,ABCC3
228067_at,KIAA1211L
227210_at,SFMBT2
242137_at,RBMS3
206224_at,CST1
1556499_s_at,COL1A1
1552767_a_at,HS6ST2
221666_s_at,PYCARD
212354_at,SULF1
224940_s_at,PAPPA
202986_at,ARNT2
207086_x_at,GAGE1_///_GAGE12B_///_GAGE12C_///_GAGE12D_///_GAGE12E_///_GAGE12F_///_GAGE12G_///_GAGE12H_///_GAGE12I_///_GAGE12J_///_GAGE2A_///_GAGE2B_///_GAGE2C_///_GAGE2D_///_GAGE2E_///_GAGE4_///_GAGE5_///_GAGE6_///_GAGE7_///_GAGE8
204410_at,EIF1AY
210674_s_at,PCDHA1_///_PCDHA10_///_PCDHA11_///_PCDHA12_///_PCDHA13_///_PCDHA2_///_PCDHA3_///_PCDHA4_///_PCDHA5_///_PCDHA6_///_PCDHA7_///_PCDHA8_///_PCDHA9_///_PCDHAC1_///_PCDHAC2
232195_at,GPR158
221974_at,IPW_///_LOC100506948_///_SNORD107_///_SNORD115-13_///_SNORD115-26_///_SNORD115-7_///_SNORD116-28_///_SNRPN
1555471_a_at,FMN2
231688_at,MMP8
204466_s_at,SNCA
1553589_a_at,PDZK1IP1
230964_at,FREM2
238439_at,ANKRD22
229308_at,ANKRD29
231929_at,IKZF2
214890_s_at,FAM149A
205258_at,INHBB
205506_at,VIL1
220014_at,PRR16
218559_s_at,MAFB
232481_s_at,SLITRK6
228915_at,DACH1
206382_s_at,BDNF
209031_at,CADM1
214329_x_at,TNFSF10
227711_at,GTSF1
213869_x_at,THY1
207172_s_at,CDH11
214240_at,GAL
202826_at,SPINT1
204163_at,EMILIN1
215465_at,ABCA12
214587_at,COL8A1
203815_at,GSTT1
206002_at,GPR64
227070_at,GLT8D2
213050_at,COBL
243409_at,FOXL1
238029_s_at,SLC16A14
227753_at,TMEM139
225626_at,PAG1
236300_at,PDE3A
204513_s_at,ELMO1
211379_x_at,B3GALNT1
203440_at,CDH2
205405_at,SEMA5A
203888_at,THBD
202403_s_at,COL1A2
221583_s_at,KCNMA1
208096_s_at,COL21A1
1554242_a_at,COCH
204597_x_at,STC1
222891_s_at,BCL11A
1552912_a_at,IL23R
222317_at,PDE3B
225681_at,CTHRC1
236081_at,SNCA
209616_s_at,CES1_///_LOC100653057
229288_at,EPHA7
235955_at,MARVELD2
205390_s_at,ANK1
202489_s_at,FXYD3
203438_at,STC2
204112_s_at,HNMT
205302_at,IGFBP1
229245_at,PLEKHA6
238455_at,---
1555765_a_at,GNG4
220520_s_at,NUP62CL
214247_s_at,DKK3
205466_s_at,HS3ST1
211719_x_at,FN1
209368_at,EPHX2
240304_s_at,TMC5
236892_s_at,HOXB-AS3
205529_s_at,RUNX1T1
206290_s_at,RGS7
219612_s_at,FGG
213036_x_at,ATP2A3
204537_s_at,GABRE_///_MIR224_///_MIR452
231666_at,PAX3
227266_s_at,FYB
208607_s_at,SAA1_///_SAA2_///_SAA2-SAA4
238567_at,SGPP2
220416_at,ATP8B4
213620_s_at,ICAM2
219497_s_at,BCL11A
212148_at,PBX1
236646_at,TMEM52B
202890_at,MAP7
202363_at,SPOCK1
210665_at,TFPI
221901_at,KIAA1644
206898_at,CDH19
1557260_a_at,ZNF382
213638_at,PHACTR1
223843_at,SCARA3
209348_s_at,MAF
227614_at,HKDC1
1554246_at,C1orf210
209772_s_at,CD24
222146_s_at,TCF4
209200_at,MEF2C
228425_at,LOC654433
213171_s_at,MMP24
209994_s_at,ABCB1_///_ABCB4
207039_at,CDKN2A
242468_at,---
225817_at,CGNL1
219756_s_at,POF1B
243541_at,IL31RA
206685_at,HCG4
219532_at,ELOVL4
213953_at,KRT20
238692_at,BTBD11
244740_at,ZNF667-AS1
214175_x_at,PDLIM4
211470_s_at,SULT1C2
242626_at,SAMD5
219195_at,PPARGC1A
218839_at,HEY1
219277_s_at,OGDHL
226218_at,IL7R
223235_s_at,SMOC2
219902_at,BHMT2
220030_at,STYK1
209763_at,CHRDL1
201720_s_at,LAPTM5
223631_s_at,C19orf33
220205_at,TPTE
205934_at,PLCL1
235593_at,ZEB2
219412_at,RAB38
210663_s_at,KYNU
207144_s_at,CITED1
213707_s_at,DLX5
220145_at,MAP9
205338_s_at,DCT
223761_at,FGF19
227498_at,SOX6
211067_s_at,GAS7
201506_at,TGFBI
1558882_at,HTATSF1P2
218824_at,PNMAL1
218678_at,NES
215125_s_at,UGT1A1_///_UGT1A10_///_UGT1A3_///_UGT1A4_///_UGT1A5_///_UGT1A6_///_UGT1A7_///_UGT1A8_///_UGT1A9
206866_at,CDH4
1562484_at,C17orf104
239624_at,---
209493_at,PDZD2
206693_at,IL7
223044_at,SLC40A1
228554_at,PGR
201147_s_at,TIMP3
226517_at,BCAT1
216074_x_at,WWC1
210340_s_at,CSF2RA
205304_s_at,KCNJ8
213425_at,WNT5A
219935_at,ADAMTS5
235201_at,FOXP2
210497_x_at,SSX2_///_SSX2B
238850_at,LINC00461_///_MIR9-2
219498_s_at,BCL11A
236335_at,GUCY1A2
235278_at,MACROD2
227048_at,LAMA1
204422_s_at,FGF2
219064_at,ITIH5
204339_s_at,RGS4
226992_at,NOSTRIN
223185_s_at,BHLHE41
244623_at,KCNQ5
212488_at,COL5A1
1553151_at,ATP6V0D2
219593_at,SLC15A3
205715_at,BST1
211776_s_at,EPB41L3
202747_s_at,ITM2A
223687_s_at,LY6K
227297_at,ITGA9
223435_s_at,PCDHA1_///_PCDHA10_///_PCDHA11_///_PCDHA12_///_PCDHA13_///_PCDHA2_///_PCDHA3_///_PCDHA4_///_PCDHA5_///_PCDHA6_///_PCDHA7_///_PCDHA8_///_PCDHA9_///_PCDHAC1_///_PCDHAC2
266_s_at,CD24
221730_at,COL5A2
202283_at,SERPINF1
226622_at,MUC20
218162_at,OLFML3
227752_at,SPTLC3
213506_at,F2RL1
205311_at,DDC
201387_s_at,UCHL1
223895_s_at,EPN3
209848_s_at,PMEL
203423_at,RBP1
211368_s_at,CASP1
235171_at,LOC100505501
211756_at,PTHLH
205798_at,IL7R
214467_at,GPR65
44790_s_at,KIAA0226L
225728_at,SORBS2
215388_s_at,CFH_///_CFHR1
204830_x_at,PSG5
208650_s_at,CD24
239108_at,FAR2
1558846_at,PNLIPRP3
229437_at,MIR155_///_MIR155HG
225575_at,LIFR
222592_s_at,ACSL5
230233_at,---
238441_at,PRKAA2
210984_x_at,EGFR
204646_at,DPYD
229634_at,TMEM139
225516_at,SLC7A2
241412_at,BTC
205555_s_at,MSX2
219529_at,CLIC3
206167_s_at,ARHGAP6
224209_s_at,GDA
205460_at,NPAS2
205513_at,TCN1
203854_at,CFI
233364_s_at,---
211003_x_at,TGM2
235238_at,SHC4
226192_at,AR
228933_at,NHS
205501_at,PDE10A
210118_s_at,IL1A
1552508_at,KCNE4
244050_at,PTPLAD2
201280_s_at,DAB2
232282_at,WNK3
206101_at,ECM2
201116_s_at,CPE
239250_at,ZNF542
212531_at,LCN2
209909_s_at,TGFB2
209582_s_at,CD200
206100_at,CPM
202036_s_at,SFRP1
208131_s_at,PTGIS
229800_at,DCLK1
213285_at,TMEM30B
1560066_at,---
209723_at,SERPINB9
219432_at,EVC
230261_at,ST8SIA4
220116_at,KCNN2
208155_x_at,GAGE1_///_GAGE12C_///_GAGE12D_///_GAGE12E_///_GAGE12F_///_GAGE12G_///_GAGE12H_///_GAGE12I_///_GAGE12J_///_GAGE2A_///_GAGE2D_///_GAGE4_///_GAGE5_///_GAGE6_///_GAGE7
1557060_at,OTTHUMG00000035112_///_RP11-522D2.1
220484_at,MCOLN3
1560527_at,NFE4
223315_at,NTN4
229461_x_at,NEGR1
202237_at,NNMT
223395_at,ABI3BP
223170_at,TMEM98
212298_at,NRP1
229332_at,HPDL
214971_s_at,ST6GAL1
229349_at,LIN28B
205229_s_at,COCH
226907_at,PPP1R14C
1556471_at,SCML4
237328_at,C14orf105
211607_x_at,EGFR
206876_at,SIM1
205626_s_at,CALB1
225061_at,DNAJA4
208323_s_at,ANXA13
214827_at,PARD6B
210305_at,PDE4DIP
231729_s_at,CAPS
242100_at,CHSY3
228731_at,GUCY1A2
